Spruce,Online - Monday & Wednesday 3:45-5pm,1,0,0,1,0
Birch,Online - Monday & Wednesday 3:45-5pm,1,0,0,1,0
Alder,Online - Monday & Wednesday 3:45-5pm,1,0,0,1,0
Elephant,Online - Monday & Wednesday 3:45-5pm,0,1,0,1,0
Mint,Online - Tuesday & Thursday 3:45-5pm,1,0,0,1,0
Thyme,Online - Tuesday & Thursday 3:45-5pm,1,0,0,1,0
Lavender,Online - Tuesday & Thursday 3:45-5pm,1,0,0,1,0
Salamander,Online - Tuesday & Thursday 3:45-5pm,0,1,0,1,0
Magnolia,Online - Monday & Wednesday 5:20-6:35pm,1,0,0,1,0
Daffodil,Online - Monday & Wednesday 5:20-6:35pm,1,0,0,1,0
Orchid,Online - Monday & Wednesday 5:20-6:35pm,1,0,0,1,0
Dolphin,Online - Monday & Wednesday 5:20-6:35pm,0,1,0,1,0
Elderberry,Online - Tuesday & Thursday 5:20-6:35pm,1,0,0,1,0
Fern,Online - Tuesday & Thursday 5:20-6:35pm,1,0,0,1,0
Cat-tail,Online - Tuesday & Thursday 5:20-6:35pm,1,0,0,1,0
Puffin,Online - Tuesday & Thursday 5:20-6:35pm,0,1,0,1,0
Westridge Reading,In-Person at Westridge Elementary School - Tuesday from 3:20-5pm,1,0,1,0,0
Westridge Math,In-Person at Westridge Elementary School - Tuesday from 3:20-5pm,0,1,1,0,0
Kingswood Reading,In-Person at Kingswood Elementary School - Tuesday from 3:20-5pm,1,0,1,0,0
Kingswood Math,In-Person at Kingswood Elementary School - Tuesday from 3:20-5pm,0,1,1,0,0
Mosaic Reading,In-Person at Mosaic Family Centre - Wednesday 4:15-6pm,1,0,1,0,0
Mosaic Math,In-Person at Mosaic Family Centre - Wednesday 4:15-6pm,0,1,1,0,0
David Lloyd George Reading,In-Person at David Lloyd George Elementary School - Wednesday from 3:20-5pm,1,0,1,0,0
David Lloyd George Math,In-Person at David Lloyd George Elementary School - Wednesday from 3:20-5pm,0,1,1,0,0
KB Woodward Reading,In-Person at KB Woodward Elementary School - Thursday from 3:20-5pm,1,0,1,0,0
KB Woodward Math,In-Person at KB Woodward Elementary School - Thursday from 3:20-5pm,0,1,1,0,0
Sunset Community Center Reading,In-Person at Sunset Community Centre - Thursday 3:45-5:45pm,1,0,1,0,0
Sunset Community Center Math,In-Person at Sunset Community Centre - Thursday 3:45-5:45pm,0,1,1,0,0
Moberly Reading,In-Person at Moberly Elementary School - Thursday from 3:20-5pm,1,0,1,0,0
Moberly Math,In-Person at Moberly Elementary School - Thursday from 3:20-5pm,0,1,1,0,0
Sunrise Reading,[ONLY FOR CLAYTON HEIGHTS STUDENTS] - Monday & Wednesday from 2:50-4:15pm,1,0,0,0,1
Sunrise Math,[ONLY FOR CLAYTON HEIGHTS STUDENTS] - Monday & Wednesday from 2:50-4:15pm,0,1,0,0,1
Latimer Reading,[ONLY FOR CLAYTON HEIGHTS STUDENTS] - Tuesday & Thursday from 2:50-4:15pm,1,0,0,0,1
Latimer Math,[ONLY FOR CLAYTON HEIGHTS STUDENTS] - Tuesday & Thursday from 2:50-4:15pm,0,1,0,0,1
Unconfirmed Tuesday,Online - Tuesday 3:20-5pm,1,0,0,1,0
Unconfirmed Thursday,Online - Thursday 3:20-5pm,0,1,0,1,0
